Country,Parliament type,Voluntary political party quotas,Single/Lower House > Quota type,Upper house > Quota type,Sub-National Level > Quota type,Single/Lower House > Constitutional quota details,Upper house > Constitutional quota details,Sub-National Level > Constitutional quota details,Single/Lower House > Electoral law quota details,Upper house > Electoral law quota details,Sub-National Level > Electoral law quota details
Solomon Islands,Unicameral,,Legislated Candidate Quotas,,,,,,Yes,,
Somalia,Bicameral,No,Reserved seats,No legislated,No legislated,Yes,,No,No,No,No
South Africa,Bicameral,Yes,No legislated,No legislated,Legislated Candidate Quotas,No,No,No,No,No,Yes
South Sudan,Bicameral,No,Legislated Candidate Quotas,No legislated,Reserved seats,Yes,Yes,Yes,Yes,Yes,Yes
Spain,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,,No,Yes,Yes,Yes
Sri Lanka,Unicameral,No,No legislated,,Reserved seats,No,,No,No,No,No
State of Palestine,Unicameral,No,Legislated Candidate Quotas,,Reserved Seats,No,,No,Yes,No,Yes
Sudan,Bicameral,No,Reserved seats,,No legislated,No,,No,Yes,No,No
Sweden,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Switzerland,Bicameral,Yes,No legislated,No legislated,No legislated,No,,No,No,No,No
Taiwan,Unicameral,No,Reserved seats,,Reserved Seats,Yes,,Yes,Yes,No,Yes
"Tanzania, United Republic of",Unicameral,Yes,Reserved seats,,Reserved seats,Yes,,No,Yes,No,Yes
Thailand,Unicameral,Yes,No legislated,,No legislated,Yes,,No,No,No,No
Timor-Leste,Unicameral,No,Legislated Candidate Quotas,,Reserved seats,No,,,Yes,,Yes
Togo,Unicameral,No,Legislated Candidate Quotas,,No legislated,,,,Yes,,
Tunisia,Unicameral,No,Legislated Candidate Quotas,,Legislated Candidate Quotas,Yes,,No,Yes,No,Yes
Turkey,Unicameral,Yes,No legislated,,No legislated,No,,No,No,No,No
Uganda,Unicameral,No,Reserved seats,,Reserved seats,Yes,,Yes,Yes,No,Yes
Ukraine,Unicameral,,No legislated,,Legislated Candidate Quotas,,,,,,Yes
United Arab Emirates,Unicameral,,Reserved seats,,No legislated,,,,,,
United Kingdom,Bicameral,Yes,No legislated,No legislated,No legislated,No,,No,No,No,No
Uruguay,Bicameral,Yes,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,No,No,Yes,Yes,Yes
Uzbekistan,Bicameral,No,Legislated Candidate Quotas,Legislated Candidate Quotas,Legislated Candidate Quotas,No,,No,Yes,No,Yes
Vanuatu,Unicameral,,No legislated,,Reserved seats,,,,,,Yes
Venezuela,Unicameral,No,Legislated Candidate Quotas,,No legislated,No,,No,Yes,No,No
Zimbabwe,Bicameral,Yes,Reserved seats,Legislated Candidate Quotas,Legislated Candidate Quotas,Yes,Yes,Yes,No,No,No
