ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_indicator,note_source
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_M,INS_SECTOR_PRI,2011,2695.0571,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_TOTAL,2011,3427.5306,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_PUB,2011,263.0564,,,R1:3513
AGO,EMP_TEMP_SEX_INS_NB,BB:13366,SEX_F,INS_SECTOR_PRI,2011,3164.4742,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2007,977.9722,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2007,180.2969,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2007,797.6753,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2007,605.5278,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2007,99.542,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2007,505.9859,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2007,372.4443,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2007,80.7549,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PRI,2007,291.6895,B,I11:264,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_TOTAL,2008,1123.1556,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PUB,2008,202.7034,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_T,INS_SECTOR_PRI,2008,920.4522,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_TOTAL,2008,622.863,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PUB,2008,109.9926,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_M,INS_SECTOR_PRI,2008,512.8705,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_TOTAL,2008,500.2926,,,R1:3513
ALB,EMP_TEMP_SEX_INS_NB,BA:480,SEX_F,INS_SECTOR_PUB,2008,92.7109,,,R1:3513
